,x1,x2,x3,x4,x5,x6,x7
0,8,98,7,2,12,8,2
1,7,107,4,3,9,5,3
2,7,103,4,3,5,6,3
3,10,88,5,2,8,15,4
4,6,91,4,2,8,10,3
5,8,90,5,2,12,12,4
6,9,84,7,4,12,15,5
7,5,72,6,4,21,14,4
8,7,82,5,1,11,11,3
9,8,64,5,2,13,9,4
10,6,71,5,4,10,3,3
11,6,91,4,2,12,7,3
12,7,72,7,4,18,10,3
13,10,70,4,2,11,7,3
14,10,72,4,1,8,10,3
15,9,77,4,1,9,10,3
16,8,76,4,1,7,7,3
17,8,71,5,3,16,4,4
18,9,67,4,2,13,2,3
19,9,69,3,3,9,5,3
20,10,62,5,3,14,4,4
21,9,88,4,2,7,6,3
22,8,80,4,2,13,11,4
23,5,30,3,3,5,2,3
24,6,83,5,1,10,23,4
25,8,84,3,2,7,6,3
26,6,78,4,2,11,11,3
27,8,79,2,1,7,10,3
28,6,62,4,3,9,8,3
29,10,37,3,1,7,2,3
30,8,71,4,1,10,7,3
31,7,52,4,1,12,8,4
32,5,48,6,5,8,4,3
33,6,75,4,1,10,24,3
34,10,35,4,1,6,9,2
35,8,85,4,1,9,10,2
36,5,86,3,1,6,12,2
37,5,86,7,2,13,18,2
38,7,79,7,4,9,25,3
39,7,79,5,2,8,6,2
40,6,68,6,2,11,14,3
41,8,40,4,3,6,5,2
