,x1,x2,x3,x4,polulation
0,-0.45,-0.41,1.09,0.45,0
1,-0.56,-0.31,1.51,0.16,0
2,0.06,0.02,1.01,0.4,0
3,-0.07,-0.09,1.45,0.26,0
4,-0.1,-0.09,1.56,0.67,0
5,-0.14,-0.07,0.71,0.28,0
6,0.04,0.01,1.5,0.71,0
7,-0.07,-0.06,1.37,0.4,0
8,0.07,-0.01,1.37,0.34,0
9,-0.14,-0.14,1.42,0.43,0
10,-0.23,-0.3,0.33,0.18,0
11,0.07,0.02,1.31,0.25,0
12,0.01,0.0,2.15,0.7,0
13,-0.28,-0.23,1.19,0.66,0
14,0.15,0.05,1.88,0.27,0
15,0.37,0.11,1.99,0.38,0
16,-0.08,-0.08,1.51,0.42,0
17,0.05,0.03,1.68,0.95,0
18,0.01,0.0,1.26,0.6,0
19,0.12,0.11,1.14,0.17,0
20,-0.28,-0.27,1.27,0.51,0
21,0.51,0.1,2.49,0.54,1
22,0.08,0.02,2.01,0.53,1
23,0.38,0.11,3.27,0.35,1
24,0.19,0.05,2.25,0.33,1
25,0.32,0.07,4.24,0.63,1
26,0.31,0.05,4.45,0.69,1
27,0.12,0.05,2.52,0.69,1
28,-0.02,0.02,2.05,0.35,1
29,0.22,0.08,2.35,0.4,1
30,0.17,0.07,1.8,0.52,1
31,0.15,0.05,2.17,0.55,1
32,-0.1,-0.01,2.5,0.58,1
33,0.14,-0.03,0.46,0.26,1
34,0.14,0.07,2.61,0.52,1
35,0.15,0.06,2.23,0.56,1
36,0.16,0.05,2.31,0.2,1
37,0.29,0.06,1.84,0.38,1
38,0.54,0.11,2.33,0.48,1
39,-0.33,-0.09,3.01,0.47,1
40,0.48,0.09,1.24,0.18,1
41,0.56,0.11,4.29,0.44,1
42,0.2,0.08,1.99,0.3,1
43,0.47,0.14,2.92,0.45,1
44,0.17,0.04,2.45,0.14,1
45,0.58,0.04,5.06,0.13,1
